Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
186;Illustrerat bibellexikon. Bd 5, M-Q 1990;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-25;;21707160884;0
187;Illustrerat bibellexikon. Bd 6, R-S 1990;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-25;;21707170884;0
188;Illustrerat bibellexikon. Bd 7, T-Ö 1991;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-25;;21707180884;0
189;Illustrerat bibellexikon. Bd 8, Bibelöversikt 1991;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-25;;21707190884;1
190;'Iraqi, Fakhr al-Din Ibrahim, Gnistornas bok 2006;  Vimmerby - Vuxen; ;;Cmd;;2006-09-18;;21642930884;4
191;Islam 1989;  Vimmerby - Vuxen; ;;Cmd;;1998-08-26;;21225920884;47
192;Islamologi 2012;  Vimmerby - Vuxen; ;;Cmd;;2013-01-24;;80047023799;1
193;Jacobsen, Knut A., Hinduismen 2004;  Vimmerby - Vuxen; ;;Cme;;2004-10-14;;21595780884;23
194;Jacobus de Voragine, Gyllene legender 2007;  Vimmerby - Vuxen; ;;Cj;;2008-05-21;;21749450884;0
195;Jag litar på din kärlek 2007;  Vimmerby - Vuxen; ;;Ci;;2007-05-16;;80034316846;0
196;James, Edwin Oliver, Gravarna berättar 1986;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20471620884;13
197;Jenkins, Elizabeth B., Inkans återkomst 1997;  Vimmerby - Vuxen; ;;Cm;;1998-04-30;;21211660884;28
198;Johannes Damaskenos, Tre försvarstal mot dem som förkastar de heliga bilderna 2008;  Vimmerby - Vuxen; ;;Cd;;2009-01-30;;21776640884;0
199;Johannesson, Karin, Till alla som tycker att livet är en öken 2001;  Vimmerby - Vuxen; ;;Ci;;2003-08-14;;21328170884;4
200;Jones, James, Om Gud är god- 1997;  Vimmerby - Vuxen; ;;Ce;;1998-06-05;;89004934931;23
201;Kallifatides, Theodor, Afrodites tårar 1996;  Vimmerby - Vuxen; ;;Cmg;;1998-04-06;;20471590884;22
202;Kanitkar, Vitthal Pralhad, Hinduism 1989;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471560884;28
203;Karlsson, Ingmar, Tro, terror och tolerans 2004;  Vimmerby - Vuxen; ;;Cm;;2004-04-01;;21350410884;8
204;Kepel, Gilles, Kampen om islam 2006;  Vimmerby - Vuxen; ;;Cmd;;2006-11-28;;21701760884;2
205;Kerényi, Karl, Grekernas och romarnas religion 1962;  Vimmerby - Vuxen; ;;Cmg;;1998-04-06;;20472060884;40
206;Kimball, Charles, När religionen blir ond 2004;  Vimmerby - Vuxen; ;;Cm;;2006-09-06;;21642180884;9
207;Kittler, Glenn D., Edgar Cayce och Dödahavsrullarna 1991;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20470820884;52
208;Koranen 2009;  Vimmerby - Vuxen; ;;Cmd;;2014-12-15;2015-04-01;49757900123;2
209;Koranen. Urval 1994;  Vimmerby - Vuxen; ;;Cmd;;2011-10-08;;20184600884;26
210;Kornhall, Per, Livets ord 2010;  Vimmerby - Vuxen; ;;Cks;;2010-12-30;;80041465182;1
211;Kornhall, Per, Skapelsekonspirationen 2008;  Vimmerby - Vuxen; ;;Ce;;2009-01-30;2015-04-01;21776650884;36
212;Koskinen, Lennart, Uppenbarelseboken 1999;  Vimmerby - Vuxen; ;;Cc;;2002-03-22;;20874190884;10
213;Krakauer, Jon, Mord i Guds namn 2004;  Vimmerby - Vuxen; ;;Cks;;2005-08-25;;21614440884;14
214;Kritiska tänkanden i religionsvetenskapen 2009;  Vimmerby - Vuxen; ;;C;;2010-01-19;;21406060884;3
215;Kärlek, nål och tråd 2009;  Vimmerby - Vuxen; ;;Cg;;2009-10-20;;80039707940;15
