Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
193;Krakauer, Jon, Mord i Guds namn 2004;  Vimmerby - Vuxen; ;;Cks;;2005-08-25;;21614440884;14
194;Kritiska tänkanden i religionsvetenskapen 2009;  Vimmerby - Vuxen; ;;C;;2010-01-19;;21406060884;3
195;Kärlek, nål och tråd 2009;  Vimmerby - Vuxen; ;;Cg;;2009-10-20;;80039707940;15
196;Laestadius, Lars Levi, Samlade predikningar. 1, Predikan 1-71 : första söndagen i advent - fastlagssöndagen 2006;  Vimmerby - Vuxen; ;;Ci;;2006-11-24;;21701170884;2
197;Laven, Mary, Nunnorna i Venedig 2004;  Vimmerby - Vuxen; ;;Ck;;2004-06-03;;21355730884;28
198;Lewis, Clive Staples, Den djupa glädjen 1998;  Vimmerby - Vuxen; ;;Ci;;1999-01-14;;21236810884;25
199;Lewis, Clive Staples, Kärlekens fyra ansikten 2000;  Vimmerby - Vuxen; ;;Cf;;2000-11-16;;21038280884;41
200;Lewis, Clive Staples, Mirakel 1998;  Vimmerby - Vuxen; ;;Ce;;1998-08-24;;21225840884;44
201;Lewis, Clive Staples, Världens sista kväll och andra texter 2013;  Vimmerby - Vuxen; ;;Ci;;2014-02-27;;52151130013;1
202;Liao, Yiwu, Gud är röd 2013;  Vimmerby - Vuxen; ;;Ck;;2014-02-07;;80047025563;0
203;Lindskog, Claes, Grekiska myter och sagor 1988;  Vimmerby - Vuxen; ;;Cmg;;1998-04-06;;20472050884;48
204;Lings, Martin, Muhammed 2008;  Vimmerby - Vuxen; ;;Cmd;;2011-11-14;;21775650884;5
205;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945240884;0
206;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945250884;0
207;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945260884;0
208;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945270884;0
209;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945220884;0
210;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945200884;0
211;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945190884;0
212;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945180884;0
213;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945230884;0
214;Linköpings stiftsblad. 43(1977) 1977;  Vimmerby - Vuxen; ;;Cj-c(p);;1998-04-06;;20945210884;0
215;Lundén, Tryggve, Sveriges missionärer, helgon och kyrkogrundare 1983;  Vimmerby - Vuxen; ;;Cj-c;;2002-01-24;;20868130884;5
216;Lundin, Johan A., Predikande kvinnor och gråtande män 2013;  Vimmerby - Vuxen; ;;Cks;;2014-03-31;;80047025827;3
